State,Year,Quarter,District,Count,Amount
punjab,2021,4,tarn taran district,119,243767.0
punjab,2021,4,sas nagar district,1079,1484361.0
punjab,2021,4,sangrur district,277,286504.0
punjab,2021,4,jalandhar district,504,737684.0
punjab,2021,4,bathinda district,458,618169.0
punjab,2021,4,kapurthala district,163,281336.0
punjab,2021,4,firozepur district,202,259580.0
punjab,2021,4,gurdaspur district,173,380006.0
punjab,2021,4,amritsar district,482,837451.0
punjab,2021,4,faridkot district,84,133538.0
punjab,2021,4,hoshiarpur district,347,722687.0
punjab,2021,4,moga district,87,214948.0
punjab,2021,3,shahid bhagat singh nagar district,45,71941.0
punjab,2021,3,fazilka district,151,207343.0
punjab,2021,3,barnala district,32,36971.0
punjab,2021,3,mansa district,197,99917.0
punjab,2021,3,ludhiana district,988,855879.0
punjab,2021,3,sri muktsar sahib district,59,66188.0
punjab,2021,3,patiala district,268,266364.0
punjab,2021,3,pathankot district,165,291101.0
punjab,2021,3,fatehgarh sahib district,96,109576.0
punjab,2021,3,rupnagar district,156,178672.0
punjab,2021,3,tarn taran district,99,143928.0
punjab,2021,3,sas nagar district,610,742657.0
punjab,2021,3,sangrur district,353,250351.0
punjab,2021,3,jalandhar district,448,478633.0
punjab,2021,3,bathinda district,275,301456.0
punjab,2021,3,kapurthala district,78,88890.0
punjab,2021,3,firozepur district,96,96044.0
punjab,2021,3,gurdaspur district,111,188189.0
punjab,2021,3,amritsar district,369,332103.0
punjab,2021,3,faridkot district,49,63232.0
punjab,2021,3,hoshiarpur district,181,306291.0
punjab,2021,3,moga district,61,95833.0
punjab,2022,1,shahid bhagat singh nagar district,68,171348.0
punjab,2022,1,fazilka district,183,421862.0
punjab,2022,1,barnala district,73,164543.0
punjab,2022,1,mansa district,699,450234.0
punjab,2022,1,ludhiana district,1184,2120278.0
punjab,2022,1,sri muktsar sahib district,91,212562.0
punjab,2022,1,patiala district,399,974671.0
punjab,2022,1,pathankot district,240,472435.0
punjab,2022,1,fatehgarh sahib district,95,206446.0
punjab,2022,1,rupnagar district,160,299557.0
punjab,2022,1,tarn taran district,158,418292.0
punjab,2022,1,sas nagar district,1135,1845468.0
punjab,2022,1,sangrur district,300,424823.0
punjab,2022,1,jalandhar district,652,1032157.0
punjab,2022,1,bathinda district,521,781949.0
punjab,2022,1,kapurthala district,127,296585.0
punjab,2022,1,firozepur district,126,263254.0
punjab,2022,1,gurdaspur district,210,492461.0
punjab,2022,1,amritsar district,455,881679.0
punjab,2022,1,faridkot district,73,154214.0
punjab,2022,1,hoshiarpur district,371,746598.0
punjab,2022,1,moga district,155,324266.0
punjab,2022,2,shahid bhagat singh nagar district,73,146067.0
punjab,2022,2,fazilka district,173,369556.0
punjab,2022,2,barnala district,72,151844.0
punjab,2022,2,mansa district,245,348275.0
punjab,2022,2,ludhiana district,1508,2179780.0
punjab,2022,2,sri muktsar sahib district,107,197059.0
punjab,2022,2,patiala district,635,1167226.0
punjab,2022,2,pathankot district,345,563810.0
punjab,2022,2,fatehgarh sahib district,131,246241.0
punjab,2022,2,rupnagar district,204,403054.0
punjab,2022,2,tarn taran district,218,341296.0
punjab,2022,2,sas nagar district,1609,2609655.0
punjab,2022,2,sangrur district,403,562768.0
